id,customer_id,age,gender,region,income,marital_status,dependents,education,employment_status,account_type,balance,num_transactions,last_transaction_date,loan_status,loan_amount,credit_score,card_type,online_banking,email_alerts
2,CUST00002,39,Other,East,73727.35,Single,1,PhD,Unemployed,Savings,43517.71,19,09-01-2024,Pending,30748.37,331,Discover,TRUE,TRUE
3,CUST00003,63,Female,East,37940.95,Divorced,2,PhD,Employed,Business,39732.23,23,20-10-2023,Pending,45077.61,452,MasterCard,FALSE,FALSE
4,CUST00004,52,Other,South,97668.12,Divorced,3,PhD,Unemployed,Savings,7980.22,90,27-05-2024,Pending,49434.9,758,Discover,TRUE,TRUE
5,CUST00005,26,Female,West,59320.72,Widowed,1,PhD,Retired,Business,2851.85,26,30-08-2023,Rejected,32718.88,533,MasterCard,TRUE,FALSE
6,CUST00006,64,Female,West,110796.94,Single,1,Masters,Self-Employed,Business,6359.16,64,28-01-2025,Approved,47450.53,832,Amex,FALSE,TRUE
7,CUST00007,33,Female,South,62506.27,Divorced,4,Masters,Employed,Savings,17733.47,90,02-10-2024,Approved,11946.39,383,Visa,FALSE,FALSE
8,CUST00008,31,Male,South,95030.8,Widowed,0,Masters,Unemployed,Checking,10597.68,30,03-12-2023,Approved,41310.2,741,Discover,TRUE,FALSE
9,CUST00009,44,Male,North,28149.93,Single,4,Masters,Self-Employed,Savings,18245.22,95,02-05-2024,Approved,21097.24,530,Amex,TRUE,TRUE
10,CUST00010,49,Other,West,95027.39,Married,3,High School,Self-Employed,Savings,19709.51,14,20-04-2024,Approved,33565.27,834,Visa,FALSE,TRUE
11,CUST00011,30,Female,North,75385.63,Single,1,Masters,Retired,Business,44674.15,26,29-11-2024,Rejected,31835.6,691,MasterCard,TRUE,TRUE
12,CUST00012,60,Other,East,92493.31,Widowed,2,Masters,Retired,Checking,20392.62,8,14-07-2025,Approved,35454.19,582,Visa,FALSE,FALSE
13,CUST00013,59,Female,East,47753.83,Widowed,0,Bachelors,Self-Employed,Business,17323.44,11,12-10-2024,Approved,44448.57,789,Amex,TRUE,FALSE
14,CUST00014,53,Female,East,62069.18,Married,3,PhD,Retired,Checking,47574.82,63,04-06-2025,Pending,5036.85,843,Amex,TRUE,TRUE
15,CUST00015,71,Male,East,104524.01,Widowed,3,Bachelors,Self-Employed,Checking,43183.03,61,08-12-2023,Approved,15454.99,628,MasterCard,FALSE,FALSE
16,CUST00016,38,Female,West,85448.96,Single,2,PhD,Employed,Business,46307.5,75,17-01-2024,Rejected,41632.75,447,Discover,TRUE,FALSE
17,CUST00017,67,Other,East,50924.99,Single,0,Bachelors,Retired,Savings,13092.52,26,04-10-2023,Pending,48899.58,676,Visa,TRUE,TRUE
18,CUST00018,34,Male,East,34808.32,Widowed,1,High School,Employed,Savings,28503.67,6,15-01-2024,Rejected,18065.77,758,Amex,TRUE,FALSE
19,CUST00019,65,Male,East,36513.85,Widowed,4,PhD,Retired,Business,45249.79,31,08-07-2025,Rejected,22779.42,310,Discover,FALSE,TRUE
20,CUST00020,32,Female,West,20431.65,Widowed,4,High School,Employed,Savings,40931.23,70,12-08-2025,Approved,13318.1,822,Visa,FALSE,FALSE
21,CUST00021,53,Female,West,69689.25,Married,3,PhD,Self-Employed,Checking,13890.23,8,14-05-2025,Approved,5733.14,340,Visa,FALSE,FALSE
22,CUST00022,63,Other,South,37996.33,Divorced,0,Bachelors,Retired,Savings,25662.84,69,11-04-2025,Rejected,47298.72,655,MasterCard,FALSE,FALSE
23,CUST00023,74,Male,West,52029.88,Married,2,Masters,Unemployed,Savings,37246.62,2,28-05-2025,Pending,25435.22,658,Visa,TRUE,TRUE
24,CUST00024,54,Female,South,68472.29,Divorced,4,High School,Retired,Savings,1770.61,14,16-01-2025,Approved,28124.61,601,Discover,TRUE,TRUE
25,CUST00025,73,Other,South,64418.11,Widowed,1,Masters,Unemployed,Business,21271.78,33,05-04-2025,Pending,26812.47,636,Discover,TRUE,FALSE
26,CUST00026,40,Male,East,62006.35,Single,0,PhD,Employed,Checking,33148.7,22,26-09-2024,Rejected,11322.41,743,Visa,TRUE,FALSE
27,CUST00027,70,Female,North,34323.6,Married,3,PhD,Unemployed,Savings,34483.31,68,12-05-2024,Approved,49038.6,841,MasterCard,FALSE,FALSE
28,CUST00028,57,Male,South,50989.92,Divorced,0,PhD,Self-Employed,Savings,29007.83,84,20-07-2024,Pending,34641.86,736,Amex,FALSE,TRUE
29,CUST00029,23,Other,East,54189.14,Widowed,1,Masters,Employed,Business,27408.38,1,11-10-2024,Pending,32284.08,675,Discover,TRUE,FALSE
30,CUST00030,32,Male,West,40161.87,Married,4,Masters,Self-Employed,Business,22274.14,42,14-12-2023,Approved,5691.81,666,MasterCard,TRUE,TRUE
31,CUST00031,71,Other,North,50042.23,Divorced,3,Bachelors,Retired,Checking,14868.06,51,29-09-2023,Rejected,28650.28,373,Amex,FALSE,FALSE
